nohup: les entrées sont ignorées

  .   ____          _            __ _ _
 /\\ / ___'_ __ _ _(_)_ __  __ _ \ \ \ \
( ( )\___ | '_ | '_| | '_ \/ _` | \ \ \ \
 \\/  ___)| |_)| | | | | || (_| |  ) ) ) )
  '  |____| .__|_| |_|_| |_\__, | / / / /
 =========|_|==============|___/=/_/_/_/

 :: Spring Boot ::                (v3.3.4)

2024-11-09T08:04:56.784Z  INFO 54944 --- [backendwave] [   scheduling-1] c.b.job.TransactionStatusUpdateJob       : Début du job de mise à jour des transactions en attente
2024-11-09T08:05:56.789Z  INFO 54944 --- [backendwave] [   scheduling-1] c.b.job.TransactionStatusUpdateJob       : Début du job de mise à jour des transactions en attente
2024-11-09T08:06:56.795Z  INFO 54944 --- [backendwave] [   scheduling-1] c.b.job.TransactionStatusUpdateJob       : Début du job de mise à jour des transactions en attente
2024-11-09T08:07:56.801Z  INFO 54944 --- [backendwave] [   scheduling-1] c.b.job.TransactionStatusUpdateJob       : Début du job de mise à jour des transactions en attente
2024-11-09T08:08:56.810Z  INFO 54944 --- [backendwave] [   scheduling-1] c.b.job.TransactionStatusUpdateJob       : Début du job de mise à jour des transactions en attente
2024-11-09T08:09:56.819Z  INFO 54944 --- [backendwave] [   scheduling-1] c.b.job.TransactionStatusUpdateJob       : Début du job de mise à jour des transactions en attente
2024-11-09T08:10:56.824Z  INFO 54944 --- [backendwave] [   scheduling-1] c.b.job.TransactionStatusUpdateJob       : Début du job de mise à jour des transactions en attente
2024-11-09T08:11:56.831Z  INFO 54944 --- [backendwave] [   scheduling-1] c.b.job.TransactionStatusUpdateJob       : Début du job de mise à jour des transactions en attente
2024-11-09T08:12:56.836Z  INFO 54944 --- [backendwave] [   scheduling-1] c.b.job.TransactionStatusUpdateJob       : Début du job de mise à jour des transactions en attente
2024-11-09T08:13:56.842Z  INFO 54944 --- [backendwave] [   scheduling-1] c.b.job.TransactionStatusUpdateJob       : Début du job de mise à jour des transactions en attente
2024-11-09T08:14:56.848Z  INFO 54944 --- [backendwave] [   scheduling-1] c.b.job.TransactionStatusUpdateJob       : Début du job de mise à jour des transactions en attente
2024-11-09T08:15:56.855Z  INFO 54944 --- [backendwave] [   scheduling-1] c.b.job.TransactionStatusUpdateJob       : Début du job de mise à jour des transactions en attente
2024-11-09T08:16:56.862Z  INFO 54944 --- [backendwave] [   scheduling-1] c.b.job.TransactionStatusUpdateJob       : Début du job de mise à jour des transactions en attente
2024-11-09T08:17:56.867Z  INFO 54944 --- [backendwave] [   scheduling-1] c.b.job.TransactionStatusUpdateJob       : Début du job de mise à jour des transactions en attente
2024-11-09T08:18:56.876Z  INFO 54944 --- [backendwave] [   scheduling-1] c.b.job.TransactionStatusUpdateJob       : Début du job de mise à jour des transactions en attente
2024-11-09T08:19:56.882Z  INFO 54944 --- [backendwave] [   scheduling-1] c.b.job.TransactionStatusUpdateJob       : Début du job de mise à jour des transactions en attente
2024-11-09T08:20:56.890Z  INFO 54944 --- [backendwave] [   scheduling-1] c.b.job.TransactionStatusUpdateJob       : Début du job de mise à jour des transactions en attente
2024-11-09T08:21:56.897Z  INFO 54944 --- [backendwave] [   scheduling-1] c.b.job.TransactionStatusUpdateJob       : Début du job de mise à jour des transactions en attente
2024-11-09T08:22:56.907Z  INFO 54944 --- [backendwave] [   scheduling-1] c.b.job.TransactionStatusUpdateJob       : Début du job de mise à jour des transactions en attente
2024-11-09T08:23:56.912Z  INFO 54944 --- [backendwave] [   scheduling-1] c.b.job.TransactionStatusUpdateJob       : Début du job de mise à jour des transactions en attente
2024-11-09T08:24:56.918Z  INFO 54944 --- [backendwave] [   scheduling-1] c.b.job.TransactionStatusUpdateJob       : Début du job de mise à jour des transactions en attente
2024-11-09T08:25:56.925Z  INFO 54944 --- [backendwave] [   scheduling-1] c.b.job.TransactionStatusUpdateJob       : Début du job de mise à jour des transactions en attente
2024-11-09T08:26:56.943Z  INFO 54944 --- [backendwave] [   scheduling-1] c.b.job.TransactionStatusUpdateJob       : Début du job de mise à jour des transactions en attente
2024-11-09T08:28:46.121Z  INFO 54944 --- [backendwave] [   scheduling-1] c.b.job.TransactionStatusUpdateJob       : Début du job de mise à jour des transactions en attente
2024-11-09T08:29:46.137Z  INFO 54944 --- [backendwave] [   scheduling-1] c.b.job.TransactionStatusUpdateJob       : Début du job de mise à jour des transactions en attente
2024-11-09T08:30:46.143Z  INFO 54944 --- [backendwave] [   scheduling-1] c.b.job.TransactionStatusUpdateJob       : Début du job de mise à jour des transactions en attente
2024-11-09T08:31:46.149Z  INFO 54944 --- [backendwave] [   scheduling-1] c.b.job.TransactionStatusUpdateJob       : Début du job de mise à jour des transactions en attente
2024-11-09T08:32:46.153Z  INFO 54944 --- [backendwave] [   scheduling-1] c.b.job.TransactionStatusUpdateJob       : Début du job de mise à jour des transactions en attente
2024-11-09T08:33:46.157Z  INFO 54944 --- [backendwave] [   scheduling-1] c.b.job.TransactionStatusUpdateJob       : Début du job de mise à jour des transactions en attente
2024-11-09T08:34:46.162Z  INFO 54944 --- [backendwave] [   scheduling-1] c.b.job.TransactionStatusUpdateJob       : Début du job de mise à jour des transactions en attente
2024-11-09T08:35:46.167Z  INFO 54944 --- [backendwave] [   scheduling-1] c.b.job.TransactionStatusUpdateJob       : Début du job de mise à jour des transactions en attente
2024-11-09T08:36:46.173Z  INFO 54944 --- [backendwave] [   scheduling-1] c.b.job.TransactionStatusUpdateJob       : Début du job de mise à jour des transactions en attente
2024-11-09T08:37:46.180Z  INFO 54944 --- [backendwave] [   scheduling-1] c.b.job.TransactionStatusUpdateJob       : Début du job de mise à jour des transactions en attente
2024-11-09T08:38:46.184Z  INFO 54944 --- [backendwave] [   scheduling-1] c.b.job.TransactionStatusUpdateJob       : Début du job de mise à jour des transactions en attente
2024-11-09T08:39:46.192Z  INFO 54944 --- [backendwave] [   scheduling-1] c.b.job.TransactionStatusUpdateJob       : Début du job de mise à jour des transactions en attente
2024-11-09T08:40:46.198Z  INFO 54944 --- [backendwave] [   scheduling-1] c.b.job.TransactionStatusUpdateJob       : Début du job de mise à jour des transactions en attente
2024-11-09T08:41:46.203Z  INFO 54944 --- [backendwave] [   scheduling-1] c.b.job.TransactionStatusUpdateJob       : Début du job de mise à jour des transactions en attente
2024-11-09T08:42:46.208Z  INFO 54944 --- [backendwave] [   scheduling-1] c.b.job.TransactionStatusUpdateJob       : Début du job de mise à jour des transactions en attente
2024-11-09T08:43:46.213Z  INFO 54944 --- [backendwave] [   scheduling-1] c.b.job.TransactionStatusUpdateJob       : Début du job de mise à jour des transactions en attente
2024-11-09T08:44:46.217Z  INFO 54944 --- [backendwave] [   scheduling-1] c.b.job.TransactionStatusUpdateJob       : Début du job de mise à jour des transactions en attente
2024-11-09T08:45:46.222Z  INFO 54944 --- [backendwave] [   scheduling-1] c.b.job.TransactionStatusUpdateJob       : Début du job de mise à jour des transactions en attente
2024-11-09T08:46:46.227Z  INFO 54944 --- [backendwave] [   scheduling-1] c.b.job.TransactionStatusUpdateJob       : Début du job de mise à jour des transactions en attente
2024-11-09T08:47:46.232Z  INFO 54944 --- [backendwave] [   scheduling-1] c.b.job.TransactionStatusUpdateJob       : Début du job de mise à jour des transactions en attente
2024-11-09T08:48:46.237Z  INFO 54944 --- [backendwave] [   scheduling-1] c.b.job.TransactionStatusUpdateJob       : Début du job de mise à jour des transactions en attente
2024-11-09T08:49:46.244Z  INFO 54944 --- [backendwave] [   scheduling-1] c.b.job.TransactionStatusUpdateJob       : Début du job de mise à jour des transactions en attente
2024-11-09T08:53:54.098Z  INFO 54944 --- [backendwave] [   scheduling-1] c.b.job.TransactionStatusUpdateJob       : Début du job de mise à jour des transactions en attente
2024-11-09T08:54:54.105Z  INFO 54944 --- [backendwave] [   scheduling-1] c.b.job.TransactionStatusUpdateJob       : Début du job de mise à jour des transactions en attente
2024-11-09T08:55:54.110Z  INFO 54944 --- [backendwave] [   scheduling-1] c.b.job.TransactionStatusUpdateJob       : Début du job de mise à jour des transactions en attente
2024-11-09T08:56:54.117Z  INFO 54944 --- [backendwave] [   scheduling-1] c.b.job.TransactionStatusUpdateJob       : Début du job de mise à jour des transactions en attente
2024-11-09T08:57:54.123Z  INFO 54944 --- [backendwave] [   scheduling-1] c.b.job.TransactionStatusUpdateJob       : Début du job de mise à jour des transactions en attente
2024-11-09T08:58:54.129Z  INFO 54944 --- [backendwave] [   scheduling-1] c.b.job.TransactionStatusUpdateJob       : Début du job de mise à jour des transactions en attente
2024-11-09T08:59:54.134Z  INFO 54944 --- [backendwave] [   scheduling-1] c.b.job.TransactionStatusUpdateJob       : Début du job de mise à jour des transactions en attente
2024-11-09T09:00:54.139Z  INFO 54944 --- [backendwave] [   scheduling-1] c.b.job.TransactionStatusUpdateJob       : Début du job de mise à jour des transactions en attente
2024-11-09T09:01:54.145Z  INFO 54944 --- [backendwave] [   scheduling-1] c.b.job.TransactionStatusUpdateJob       : Début du job de mise à jour des transactions en attente
2024-11-09T09:02:54.149Z  INFO 54944 --- [backendwave] [   scheduling-1] c.b.job.TransactionStatusUpdateJob       : Début du job de mise à jour des transactions en attente
2024-11-09T09:03:54.154Z  INFO 54944 --- [backendwave] [   scheduling-1] c.b.job.TransactionStatusUpdateJob       : Début du job de mise à jour des transactions en attente
2024-11-09T09:04:54.159Z  INFO 54944 --- [backendwave] [   scheduling-1] c.b.job.TransactionStatusUpdateJob       : Début du job de mise à jour des transactions en attente
2024-11-09T09:05:54.164Z  INFO 54944 --- [backendwave] [   scheduling-1] c.b.job.TransactionStatusUpdateJob       : Début du job de mise à jour des transactions en attente
2024-11-09T09:06:54.169Z  INFO 54944 --- [backendwave] [   scheduling-1] c.b.job.TransactionStatusUpdateJob       : Début du job de mise à jour des transactions en attente
2024-11-09T09:07:54.174Z  INFO 54944 --- [backendwave] [   scheduling-1] c.b.job.TransactionStatusUpdateJob       : Début du job de mise à jour des transactions en attente
2024-11-09T09:08:54.180Z  INFO 54944 --- [backendwave] [   scheduling-1] c.b.job.TransactionStatusUpdateJob       : Début du job de mise à jour des transactions en attente
2024-11-09T09:09:54.186Z  INFO 54944 --- [backendwave] [   scheduling-1] c.b.job.TransactionStatusUpdateJob       : Début du job de mise à jour des transactions en attente
